lat,oddlat,lon,oddlong,oblig_proportion,Oblig&fac_proportion,Oblig&Fac&Linked_proportion,Direct&Indirect_proportion,Direct&Indirect_proportion_alternate_1,Oblig_Count,Oblig&Fac_Count,Oblig&Fac&Linked_Count,Direct&Indirect_Count,Direct&Indirect_Count_alternate_1,cor_diversity,Coral Diversity Original,fish_sp_div,LogFishDiv,fish_gen_div,reef_fraction,fraction_30m,isolation,mean_Present.Surface.Phytoplankton.Mean,mean_Present.Surface.Primary.productivity.Mean,mean_Present.Surface.Salinity.Mean,mean_Present.Surface.Temperature.Mean,mean_Present.Surface.Temperature.Range,mean_bo_ph.asc,min_Present.Surface.Phytoplankton.Mean,min_Present.Surface.Primary.productivity.Mean,min_Present.Surface.Salinity.Mean,min_Present.Surface.Temperature.Mean,min_Present.Surface.Temperature.Range,min_bo_ph.asc,max_Present.Surface.Phytoplankton.Mean,max_Present.Surface.Primary.productivity.Mean,max_Present.Surface.Salinity.Mean,max_Present.Surface.Temperature.Mean,max_Present.Surface.Temperature.Range,max_bo_ph.asc,fish_mean_troph,fish_var_troph,fish_mean_size,fish_var_size,fish_mean_vuln,fish_min_depth,fish_max_depth,Province,Region,Fish?,Coral?,Realm,Prin1,Prin2,Prin3,Prin4,Prin5,Fish Richness Predicted With Corals,Fish Richness Predicted Without Corals,PredictedSpeciesLost,Predicted%SpeciesLost,ExpectedSpeciesremainingAfterLoss,PC1-Coral Association,Residual PC1-Coral Association,FishRichnessUnrelatedToCorals,Pred Formula FishRichnessUnrelatedToCorals,Pred Formula Direct&Indirect_Count,UnrelatedToCoralsNoCoral,CoralDependentNoCoral,phylo_div,func_div,fe_n
32.5,0,-65.5,0,0.001851852,0.02962963,0.051851852,0.068444217,0.057021501,1,16,28,36.95987708,30.79161068,16,16,539,6.289715571,316,0.03,0.006111111,0.757,1.227868278,0.005605486,36.51989763,23.36308476,9.766030118,8.221273634,1.099713,0.004771,36.504811,23.199656,9.653555,8.21657753,1.099713,0.004771,36.504811,23.199656,9.653555,8.21657753,3.593482309,0.598488456,54.21519011,104.5409803,33.68788497,88.3580705,1054.057514,Caribbean,western Atlantic,1,1,Atlantic,-3.018990691,5.717302858,-1.169359158,-0.671667187,-0.971081732,422.4921519,369.1080002,53.38415172,0.126355369,470.8944561,-2.583086692,-3.365338958,502.0401229,121.1643575,17.70394268,-29.55806611,-36.08763381,22386.1309031889,0.001324477897961,109
32.5,0,-64.5,1,0.001893939,0.03030303,0.053030303,0.069460047,0.058183467,1,16,28,36.67490492,30.72087067,16,16,527,6.267200549,310,0.17,0.068263889,0.767,1.204924521,0.005289632,36.51851362,23.34374394,9.85123191,8.221279169,1.11577,0.004453,36.502547,23.185513,9.682327,8.216558456,1.11577,0.004453,36.502547,23.185513,9.682327,8.216558456,3.586666667,0.601659082,50.91069903,76.08658291,33.60899431,85.25047438,1059.571158,Caribbean,western Atlantic,1,1,Atlantic,-3.068784035,5.721198873,-1.183145861,-0.707045181,-0.949717899,417.3154049,364.585363,52.73004195,0.126355369,460.4107206,-2.547552488,-3.368808992,490.3250951,110.055534,16.42264847,-40.66688966,-37.36892803,22312.3365146243,0.001156577360513,105
30.5,0,48.5,0,0.008230453,0.041152263,0.152263374,0.241507872,0.191138309,2,10,37,58.68641298,46.44660905,42,42,242,5.488937726,189,0.01,0.117986111,0.074,2.875849333,0.02776825,28.37834558,24.55282842,19.41255625,8.136447906,2.741212,0.026112,26.598586,24.402315,18.972022,8.13599968,2.741212,0.026112,26.598586,24.402315,18.972022,8.13599968,3.526446281,0.550246916,60.12107438,129.3788058,32.75619835,21.70247934,417.5,north western Indian,western Indian,1,1,Indo-Pacific,7.431937155,11.95425576,-0.2973687,-7.584163424,3.540452049,1489.775999,1045.02061,444.7553893,0.298538431,169.7536997,0.098756528,1.793005117,183.313587,1473.310436,271.1454321,1077.664074,129.9425438,13418.7672669172,0.001140851087611,91
30.5,0,129.5,1,0.006724304,0.030739673,0.142170989,0.178689965,0.146160945,7,32,148,186.0162534,152.1535436,61,61,1040,6.946975992,559,0.02,0.002777778,0.656,1.451547076,0.008934972,34.233174,24.24289634,10.17501529,8.241037649,1.326888,0.008402,34.146165,23.467518,8.969999,8.235608101,1.326888,0.008402,34.146165,23.467518,8.969999,8.235608101,3.555705996,0.534470702,46.87022599,68.91217504,31.87120192,50.22884615,351.9057692,central Indo-Pacific,central Indo-Pacific,1,1,Indo-Pacific,-0.908044727,5.625660547,0.12763859,-1.797576566,-0.785268343,858.4386493,512.9183476,345.5203016,0.402498538,621.4015201,-0.765322824,-1.15212464,853.9837466,907.700283,230.3668017,333.071043,25.28641634,37671.0939391076,0.001913236238857,212
30.5,0,130.5,0,0.005347594,0.025668449,0.127272727,0.16130774,0.130358718,5,24,119,150.8227373,121.885401,60,60,934,6.839476438,537,0.1,0.028055556,0.63,1.468600014,0.008924353,34.2222947,23.94788708,10.52003605,8.248585475,1.320291,0.007262,34.120792,23.133608,9.250319,8.244020462,1.320291,0.007262,34.120792,23.133608,9.250319,8.244020462,3.567710583,0.527089636,47.42594156,69.17209039,31.98835118,53.67987152,381.9582441,central Indo-Pacific,central Indo-Pacific,1,1,Indo-Pacific,-1.23861052,5.873956913,0.19990202,-2.039790052,-0.863932799,849.3530642,511.7923667,337.5606975,0.397432719,562.7978406,-1.237720965,-1.530562408,783.1772627,907.347399,222.2333485,342.1383105,20.51493661,35811.9535551172,0.001844730730007,198
30.5,0,131.5,1,0.004878049,0.02804878,0.136585366,0.172166525,0.139162549,4,23,112,141.1765506,114.1132905,56,56,819,6.708084084,494,0.03,0.005277778,0.599,1.400362424,0.008649944,34.31330494,24.2989891,10.18516166,8.256680103,1.255588,0.007138,34.135185,23.297626,9.530001,8.24653244,1.255588,0.007138,34.135185,23.297626,9.530001,8.24653244,3.564004914,0.520294927,47.72080049,70.44659242,31.9703663,53.35286935,399.2442002,central Indo-Pacific,central Indo-Pacific,1,1,Indo-Pacific,-1.388258491,5.657517795,0.200026235,-2.03002016,-0.637568105,852.6777692,531.4431131,321.2346561,0.376736286,510.4529816,-1.090334195,-1.256370579,677.8234494,902.1071711,213.2599804,374.5786885,24.98946268,33179.5318043221,0.001793706915236,191
29.5,1,32.5,0,0.011527378,0.060518732,0.204610951,0.284504943,0.229384608,4,21,71,98.72321531,79.59645894,61,61,346,5.846438775,238,0.28,0.085972222,0.166,1.039243957,0.003352383,40.47858851,22.77053106,11.270031,8.255850127,0.988111,0.00268,39.615108,22.676926,10.579336,8.248090744,0.988111,0.00268,39.615108,22.676926,10.579336,8.248090744,3.495362319,0.599015085,58.60063953,118.6335673,32.68381503,23.32080925,404.9075145,north western Indian,western Indian,1,1,Indo-Pacific,-5.605557855,6.838317826,-1.933879917,1.35166781,-0.535133224,772.5497714,461.5996176,310.9501538,0.402498538,206.7355057,1.53768691,3.021626863,247.2767847,669.0941362,137.3054976,94.46489622,-67.77488778,16738.5900510699,0.00147122926201,123
29.5,1,33.5,1,0.01055409,0.055408971,0.189973615,0.259793262,0.211688597,4,21,72,98.46164633,80.22997818,61,61,378,5.934894196,253,0.02,0.010277778,0.139,1.0385315,0.0033875,40.5974955,22.8284665,10.566923,8.246974945,1.036142,0.003375,40.586767,22.805893,10.534288,8.246974945,1.036142,0.003375,40.586767,22.805893,10.534288,8.246974945,3.508753316,0.593468236,56.12197333,114.0495933,32.11322751,22.34656085,380.510582,north western Indian,western Indian,1,1,Indo-Pacific,-5.626710548,6.898452281,-2.10288817,2.061162283,-0.529206465,763.5490173,456.2216539,307.3273635,0.402498538,225.8555525,1.059909837,2.647124227,279.5383537,628.8903677,132.0297879,54.2611277,-73.05059746,17935.7607295942,0.001523553814133,129
29.5,1,34.5,0,0.012578616,0.056603774,0.21802935,0.289709703,0.239044196,6,27,104,138.1915283,114.0240813,61,61,476,6.165417854,288,0.14,0.003888889,0.133,1.046094579,0.003869632,38.88473616,24.37819921,7.717661632,8.221614491,1.044675,0.003846,38.826606,24.286585,7.664835,8.221006393,1.044675,0.003846,38.826606,24.286585,7.664835,8.221006393,3.486919831,0.584105402,50.40272152,103.3296478,30.94392857,18.70798319,314.5672269,north western Indian,western Indian,1,1,Indo-Pacific,-3.727817087,4.415033527,-1.513492575,1.879688518,-0.851880278,1079.809117,645.1875256,434.6215913,0.402498538,284.4106957,1.668392197,3.350540869,337.8084717,993.209981,202.7281732,418.580741,-2.352212169,20344.6342212767,0.001565583866457,144
29.5,1,35.5,1,0.007952286,0.059642147,0.21471173,0.284118534,0.236670973,4,30,108,142.9116224,119.0454993,0,0,502,6.21860012,303,0.01,0,0.104,,,,,,,,,,,,,,,,,,,3.470362903,0.576023519,47.42834,100.0972546,30.00515936,19.44023904,303.2569721,north western Indian,western Indian,1,0,Indo-Pacific,,,,,,,,,,,1.240852459,,359.0883776,,,,,21305.8873053298,0.001573330518949,141
